Year,Type,Products,Expenditure
2019,Inbound,Accommodation services,22007.3
2019,Inbound,Food and beverage services,12019.2
2019,Inbound,Passenger transport service,16023.7
2019,Inbound,Cultural sports and recreational,2526.7
2019,Inbound,Retail sale automotive fuel,467.2
2019,Inbound,Tourism characteristic goods,29924.4
2019,Inbound,Tourism characteristic services,2405.3
2019,Domestic,Accommodation services,8625.7
2019,Domestic,Food and beverage services,14702.4
2019,Domestic,Passenger transport service,6384.5
2019,Domestic,Cultural sports and recreational,1695.3
2019,Domestic,Retail sale automotive fuel,15498.5
2019,Domestic,Tourism characteristic goods,39033.4
2019,Domestic,Tourism characteristic services,5094.9
2020,Inbound,Accommodation services,3144
2020,Inbound,Food and beverage services,2011.2
2020,Inbound,Passenger transport service,2413
2020,Inbound,Cultural sports and recreational,395.1
2020,Inbound,Retail sale automotive fuel,24
2020,Inbound,Tourism characteristic goods,4717.9
2020,Inbound,Tourism characteristic services,406
2020,Domestic,Accommodation services,2087.9
2020,Domestic,Food and beverage services,7497.4
2020,Domestic,Passenger transport service,2506.3
2020,Domestic,Cultural sports and recreational,569.1
2020,Domestic,Retail sale automotive fuel,3627.2
2020,Domestic,Tourism characteristic goods,21267.4
2020,Domestic,Tourism characteristic services,984.9
2021,Inbound,Accommodation services,64.8
2021,Inbound,Food and beverage services,78.6
2021,Inbound,Passenger transport service,178
2021,Inbound,Cultural sports and recreational,9.8
2021,Inbound,Retail sale automotive fuel,0.1
2021,Inbound,Tourism characteristic goods,44.4
2021,Inbound,Tourism characteristic services,94.8
2021,Domestic,Accommodation services,1087.4
2021,Domestic,Food and beverage services,2783.2
2021,Domestic,Passenger transport service,888.9
2021,Domestic,Cultural sports and recreational,457
2021,Domestic,Retail sale automotive fuel,2038.8
2021,Domestic,Tourism characteristic goods,9263.9
2021,Domestic,Tourism characteristic services,910.8
2022,Inbound,Accommodation services,5234.1
2022,Inbound,Food and beverage services,5603
2022,Inbound,Passenger transport service,7160.7
2022,Inbound,Cultural sports and recreational,1755.8
2022,Inbound,Retail sale automotive fuel,325.9
2022,Inbound,Tourism characteristic goods,11288.4
2022,Inbound,Tourism characteristic services,1703.1
2022,Domestic,Accommodation services,5956.5
2022,Domestic,Food and beverage services,9725.2
2022,Domestic,Passenger transport service,4816.7
2022,Domestic,Cultural sports and recreational,2022.4
2022,Domestic,Retail sale automotive fuel,8839.7
2022,Domestic,Tourism characteristic goods,24939.2
2022,Domestic,Tourism characteristic services,2142.9
2023,Inbound,Accommodation services,14369
2023,Inbound,Food and beverage services,10574.6
2023,Inbound,Passenger transport service,16290.8
2023,Inbound,Cultural sports and recreational,2845.8
2023,Inbound,Retail sale automotive fuel,748.9
2023,Inbound,Tourism characteristic goods,25387.6
2023,Inbound,Tourism characteristic services,2314.8
2023,Domestic,Accommodation services,10653.5
2023,Domestic,Food and beverage services,13802.8
2023,Domestic,Passenger transport service,5691.1
2023,Domestic,Cultural sports and recreational,2269.5
2023,Domestic,Retail sale automotive fuel,11226.7
2023,Domestic,Tourism characteristic goods,30842.7
2023,Domestic,Tourism characteristic services,3139.9
